iter	Passed	Remaining
314	3167	6888
315	3178	6879
316	3188	6868
317	3198	6859
318	3207	6847
319	3216	6836
320	3225	6823
321	3235	6813
322	3245	6802
323	3254	6790
324	3265	6781
325	3274	6769
326	3285	6761
327	3296	6752
328	3306	6743
329	3316	6732
330	3326	6722
331	3335	6711
332	3346	6703
333	3356	6692
334	3366	6682
335	3376	6673
336	3386	6662
337	3395	6651
338	3405	6640
339	3415	6630
340	3424	6618
341	3434	6608
342	3444	6597
343	3454	6588
344	3463	6576
345	3473	6565
346	3483	6555
347	3493	6545
348	3503	6534
349	3513	6524
350	3522	6513
351	3531	6501
352	3541	6491
353	3551	6480
354	3561	6471
355	3573	6465
356	3584	6456
357	3594	6446
358	3604	6436
359	3616	6430
360	3626	6419
361	3636	6408
362	3646	6399
363	3656	6388
364	3665	6376
365	3674	6365
366	3685	6357
367	3695	6345
368	3703	6333
369	3713	6323
370	3723	6312
371	3733	6301
372	3742	6291
373	3752	6281
374	3762	6270
375	3773	6261
376	3783	6252
377	3794	6244
378	3805	6235
379	3815	6225
380	3824	6214
381	3835	6204
382	3845	6194
383	3855	6184
384	3865	6174
385	3875	6164
386	3885	6154
387	3895	6144
388	3904	6133
389	3913	6121
390	3923	6110
391	3933	6100
392	3942	6089
393	3952	6079
394	3962	6069
395	3972	6058
396	3982	6048
397	3992	6038
398	4001	6028
399	4011	6016
400	4021	6007
401	4032	5998
402	4042	5988
403	4051	5977
404	4061	5966
405	4080	5970
406	4090	5960
407	4100	5950
408	4110	5939
409	4120	5929
410	4130	5919
411	4140	5909
412	4151	5900
413	4160	5889
414	4171	5880
415	4181	5869
416	4191	5860
417	4201	5849
418	4210	5837
419	4219	5827
420	4229	5817
421	4240	5807
422	4250	5797
423	4259	5785
424	4284	5796
425	4294	5786
426	4304	5776
427	4315	5767
428	4325	5757
429	4334	5746
430	4344	5735
431	4354	5725
432	4364	5714
433	4373	5703
434	4383	5693
435	4393	5683
436	4403	5673
437	4413	5663
438	4423	5652
439	4433	5642
440	4442	5630
441	4451	5620
442	4461	5609
443	4470	5598
444	4481	5589
445	4490	5578
446	4500	5567
447	4509	5556
448	4518	5545
449	4528	5535
450	4538	5524
451	4548	5515
452	4558	5504
453	4568	5494
454	4579	5484
455	4590	5475
456	4600	5466
457	4610	5456
458	4620	5446
459	4630	5436
460	4640	5425
461	4649	5414
462	4660	5404
463	4670	5395
464	4680	5385
465	4689	5374
466	4699	5363
467	4709	5353
468	4719	5343
469	4729	5332
470	4738	5322
471	4749	5312
472	4759	5302
473	4769	5293
474	4779	5282
475	4789	5272
476	4798	5261
477	4808	5251
478	4819	5241
479	4829	5231
480	4838	5220
481	4847	5209
482	4857	5199
483	4866	5188
484	4877	5179
485	4888	5169
486	4897	5159
487	4907	5149
488	4917	5139
489	4927	5128
490	4936	5117
491	4946	5106
492	4955	5096
493	4965	5086
494	4975	5075
495	4984	5065
496	4994	5054
497	5003	5043
498	5013	5033
499	5023	5023
500	5033	5013
501	5042	5002
502	5052	4992
503	5061	4981
504	5071	4971
505	5081	4961
506	5090	4950
507	5099	4939
508	5110	4929
509	5119	4918
510	5129	4909
511	5139	4898
512	5148	4887
513	5158	4877
514	5167	4866
515	5177	4856
516	5187	4846
517	5196	4835
518	5206	4825
519	5216	4815
520	5226	4805
521	5237	4796
522	5248	4786
523	5258	4776
524	5268	4766
525	5278	4757
526	5289	4747
527	5300	4738
528	5312	4729
529	5322	4720
530	5333	4710
531	5343	4700
532	5354	4691
533	5365	4682
534	5375	4672
535	5385	4662
536	5394	4650
537	5404	4641
538	5414	4630
539	5424	4620
540	5434	4610
541	5443	4600
542	5452	4589
543	5463	4579
544	5472	4568
545	5482	4558
546	5493	4549
547	5503	4539
548	5514	4530
549	5524	4520
550	5535	4511
551	5547	4502
552	5559	4494
553	5570	4484
554	5580	4474
555	5590	4464
556	5601	4454
557	5611	4445
558	5621	4435
559	5631	4424
560	5640	4413
561	5650	4403
562	5660	4393
563	5670	4383
564	5679	4373
565	5689	4362
566	5698	4352
567	5708	4341
568	5718	4331
569	5727	4321
570	5738	4311
571	5748	4301
572	5759	4291
573	5768	4281
574	5779	4271
575	5789	4261
576	5799	4251
577	5809	4241
578	5819	4231
579	5829	4221
580	5838	4210
581	5848	4200
582	5859	4191
583	5870	4181
584	5879	4171
585	5889	4161
586	5899	4150
587	5910	4141
588	5919	4130
589	5929	4120
590	5938	4110
591	5948	4099
592	5959	4089
593	5968	4079
594	5978	4069
595	5987	4058
596	5997	4048
597	6008	4039
598	6018	4029
599	6028	4019
600	6039	4009
601	6049	3999
602	6059	3989
603	6068	3978
604	6077	3968
605	6087	3957
606	6097	3947
607	6107	3937
608	6117	3927
609	6127	3917
610	6137	3907
611	6148	3898
612	6158	3888
613	6168	3877
614	6177	3867
615	6187	3856
616	6197	3846
617	6206	3836
618	6216	3826
619	6226	3816
620	6236	3806
621	6247	3796
622	6257	3786
623	6267	3776
624	6277	3766
625	6286	3755
626	6297	3746
627	6307	3736
628	6316	3725
629	6326	3715
630	6336	3705
631	6346	3695
632	6355	3685
633	6365	3674
634	6375	3664
635	6384	3654
636	6394	3644
637	6404	3634
638	6414	3624
639	6424	3613
640	6434	3603
641	6445	3593
642	6454	3583
643	6464	3573
644	6474	3563
645	6484	3553
646	6494	3543
647	6505	3533
648	6514	3523
649	6526	3514
650	6536	3504
651	6549	3495
652	6560	3486
653	6570	3476
654	6581	3466
655	6591	3456
656	6600	3446
657	6609	3435
658	6619	3425
659	6630	3415
660	6640	3405
661	6650	3395
662	6659	3385
663	6669	3374
664	6678	3364
665	6688	3354
666	6698	3344
667	6707	3333
668	6718	3323
669	6728	3313
670	6739	3304
671	6748	3294
672	6758	3283
673	6768	3273
674	6778	3263
675	6787	3253
676	6797	3243
677	6807	3233
678	6816	3222
679	6828	3213
680	6838	3203
681	6847	3193
682	6857	3182
683	6868	3173
684	6878	3163
685	6888	3153
686	6898	3142
687	6906	3132
688	6916	3122
689	6925	3111
690	6935	3101
691	6945	3091
692	6954	3080
693	6964	3070
694	6974	3060
695	6983	3050
696	6994	3040
697	7003	3030
698	7013	3020
699	7022	3009
700	7032	2999
701	7041	2989
702	7052	2979
703	7061	2969
704	7071	2958
705	7081	2948
706	7090	2938
707	7100	2928
708	7109	2918
709	7119	2908
710	7129	2897
711	7138	2887
712	7148	2877
713	7158	2867
714	7168	2857
715	7178	2847
716	7189	2837
717	7199	2827
718	7208	2817
719	7219	2807
720	7229	2797
721	7239	2787
722	7250	2777
723	7260	2767
724	7272	2758
725	7282	2748
726	7291	2738
727	7301	2728
728	7310	2717
729	7320	2707
730	7331	2697
731	7341	2687
732	7351	2677
733	7361	2667
734	7371	2657
735	7381	2647
736	7391	2637
737	7400	2627
738	7409	2616
739	7419	2606
740	7429	2596
741	7439	2586
742	7450	2576
743	7459	2566
744	7470	2556
745	7480	2547
746	7491	2537
747	7503	2527
748	7514	2518
749	7526	2508
750	7537	2499
751	7548	2489
752	7559	2479
753	7569	2469
754	7580	2459
755	7590	2449
756	7599	2439
757	7609	2429
758	7622	2420
759	7632	2410
760	7642	2400
761	7652	2390
762	7662	2380
763	7672	2370
764	7682	2360
765	7692	2350
766	7704	2340
767	7715	2330
768	7726	2321
769	7736	2310
770	7747	2301
771	7757	2291
772	7766	2280
773	7777	2270
774	7786	2260
775	7796	2250
776	7806	2240
777	7816	2230
778	7827	2220
779	7837	2210
780	7847	2200
781	7857	2190
782	7867	2180
783	7878	2170
784	7888	2160
785	7897	2150
786	7908	2140
787	7916	2129
788	7927	2120
789	7936	2109
790	7946	2099
791	7955	2089
792	7964	2079
793	7975	2069
794	7984	2058
795	7994	2048
796	8004	2038
797	8013	2028
798	8024	2018
799	8034	2008
800	8043	1998
801	8053	1988
802	8062	1978
803	8072	1967
804	8082	1957
805	8100	1949
806	8110	1939
807	8120	1929
808	8130	1919
809	8140	1909
810	8148	1899
811	8159	1889
812	8168	1878
813	8178	1868
814	8187	1858
815	8197	1848
816	8208	1838
817	8219	1828
818	8230	1818
819	8240	1808
820	8250	1798
821	8260	1788
822	8270	1778
823	8279	1768
824	8288	1758
825	8298	1748
826	8307	1737
827	8319	1728
828	8329	1718
829	8339	1708
830	8348	1697
831	8359	1687
832	8368	1677
833	8378	1667
834	8388	1657
835	8396	1647
836	8406	1637
837	8416	1627
838	8426	1616
839	8435	1606
840	8445	1596
841	8455	1586
842	8464	1576
843	8474	1566
844	8484	1556
845	8495	1546
846	8505	1536
847	8516	1526
848	8526	1516
849	8537	1506
850	8546	1496
851	8556	1486
852	8566	1476
853	8576	1466
854	8585	1456
855	8594	1445
856	8604	1435
857	8614	1425
858	8624	1415
859	8633	1405
860	8642	1395
861	8652	1385
862	8662	1375
863	8672	1365
864	8683	1355
865	8693	1345
866	8704	1335
867	8716	1325
868	8725	1315
869	8735	1305
870	8745	1295
871	8754	1285
872	8764	1275
873	8773	1264
874	8783	1254
875	8793	1244
876	8804	1234
877	8814	1224
878	8823	1214
879	8833	1204
880	8843	1194
881	8853	1184
882	8864	1174
883	8873	1164
884	8883	1154
885	8893	1144
886	8903	1134
887	8913	1124
888	8922	1114
889	8932	1103
890	8941	1093
891	8951	1083
892	8962	1073
893	8971	1063
894	8980	1053
895	8989	1043
896	8999	1033
897	9009	1023
898	9019	1013
899	9029	1003
900	9038	993
901	9047	983
902	9057	972
903	9066	962
904	9075	952
905	9084	942
906	9094	932
907	9104	922
908	9113	912
909	9122	902
910	9133	892
911	9143	882
912	9154	872
913	9163	862
914	9173	852
915	9183	842
916	9193	832
917	9204	822
918	9215	812
919	9224	802
920	9235	792
921	9244	782
922	9255	772
923	9264	762
924	9274	752
925	9284	741
926	9294	731
927	9304	721
928	9313	711
929	9323	701
930	9332	691
931	9342	681
932	9352	671
933	9361	661
934	9370	651
935	9379	641
936	9389	631
937	9399	621
938	9408	611
939	9418	601
940	9427	591
941	9437	581
942	9447	571
943	9456	561
944	9467	551
945	9479	541
946	9490	531
947	9501	521
948	9511	511
949	9521	501
950	9532	491
951	9544	481
952	9554	471
953	9563	461
954	9573	451
955	9583	441
956	9593	431
957	9604	421
958	9614	411
959	9623	400
960	9633	390
961	9642	380
962	9652	370
963	9661	360
964	9671	350
965	9682	340
966	9693	330
967	9703	320
968	9713	310
969	9724	300
970	9734	290
971	9744	280
972	9755	270
973	9765	260
974	9775	250
975	9784	240
976	9794	230
977	9804	220
978	9813	210
979	9823	200
980	9832	190
981	9842	180
982	9852	170
983	9862	160
984	9872	150
985	9882	140
986	9893	130
987	9902	120
988	9912	110
989	9921	100
990	9931	90
991	9940	80
992	9951	70
993	9960	60
994	9970	50
995	9980	40
996	9989	30
997	9999	20
998	10009	10
999	10018	0
