iter	Logloss
0	0.6558399223
1	0.623047377
2	0.5959791997
3	0.5680660827
4	0.5420816935
5	0.5183787877
6	0.4988955776
7	0.4775430565
8	0.4573659453
9	0.4375924625
10	0.4216695592
11	0.40887659
12	0.3919436808
13	0.381634278
14	0.369508143
15	0.3606645851
16	0.3482373876
17	0.3353967832
18	0.3268468257
19	0.3191044257
20	0.3130651203
21	0.3051258865
22	0.3003281318
23	0.2940488456
24	0.2892252458
25	0.2850938633
26	0.2815631233
27	0.2752751003
28	0.2710534821
29	0.2657327204
30	0.2613931298
31	0.2572217394
32	0.2533493814
33	0.2513482199
34	0.2483413318
35	0.2461945393
36	0.2423280498
37	0.2393721457
38	0.2373279023
39	0.2351076848
40	0.2326913536
41	0.2307935508
42	0.2286555646
43	0.2268535353
44	0.2253848057
45	0.2242449136
46	0.222184379
47	0.2202710445
48	0.2181531479
49	0.2165873774
50	0.2155561048
51	0.213448581
52	0.2119218105
53	0.2107086039
54	0.2098908499
55	0.2084189562
56	0.2073346494
57	0.2057096592
58	0.2046031597
59	0.2034748922
60	0.2023473415
61	0.2010434195
62	0.2003110862
63	0.1994993022
64	0.198508117
65	0.1977564583
66	0.1968107809
67	0.1961910601
68	0.1955317882
69	0.1950555275
70	0.194109547
71	0.1932741731
72	0.1926978954
73	0.1921890712
74	0.191615179
75	0.1908839045
76	0.1902907378
77	0.1899046015
78	0.1894804436
79	0.1889152064
80	0.1885273028
81	0.1880819595
82	0.1878043999
83	0.1874436107
84	0.186981853
85	0.1863461031
86	0.1860812366
87	0.1855149281
88	0.1850378597
89	0.184615661
90	0.1841070483
91	0.183639924
92	0.183288926
93	0.183022128
94	0.1824720211
95	0.1819505653
96	0.1815030879
97	0.1812650473
98	0.1808683647
99	0.1803373377
100	0.1799318007
101	0.179595191
102	0.1790749725
103	0.1788139364
104	0.1786200362
105	0.1783394069
106	0.1778523206
107	0.1773958124
108	0.1771976794
109	0.1768902335
110	0.1765900296
111	0.176330975
112	0.1759364582
113	0.1755623095
114	0.1750760253
115	0.1747643362
116	0.1745476331
117	0.1742344565
118	0.1739812026
119	0.1737261437
120	0.1734522862
121	0.1731977853
122	0.1728832817
123	0.1725771037
124	0.1723103355
125	0.1721079906
126	0.171923951
127	0.1716950657
128	0.1714562981
129	0.1712420121
130	0.1709740393
131	0.1707030851
132	0.1704580137
133	0.1702649988
134	0.1700683616
135	0.169840846
136	0.1695906703
137	0.1693691775
138	0.1691397922
139	0.1689369498
140	0.1686151384
141	0.1683789756
142	0.16815656
143	0.1679853272
144	0.1677217286
145	0.1675107351
146	0.1672475464
147	0.1670181333
148	0.1668473417
149	0.1666203527
150	0.1663513665
151	0.1661318778
152	0.1660185499
153	0.1657859273
154	0.1655811352
155	0.1653461371
156	0.1650886748
157	0.1649147606
158	0.164660109
159	0.164467447
160	0.1643163566
161	0.1641129678
162	0.1639143324
163	0.1637044862
164	0.1635362101
165	0.1632848114
166	0.1631155485
167	0.1628111646
168	0.1626088202
169	0.1624165464
170	0.1622504973
171	0.1621200626
172	0.1619599313
173	0.1617631836
174	0.1615851287
175	0.1613867034
176	0.1611955463
177	0.1610284541
178	0.1607686557
179	0.1606026716
180	0.1603650741
181	0.1601554847
182	0.1599214251
183	0.1597057138
184	0.1595195424
185	0.1593649767
186	0.1592373604
187	0.1590090643
188	0.1588770512
189	0.1586770717
190	0.1584373874
191	0.1582744187
192	0.1581247989
193	0.1579747294
194	0.1576625131
195	0.1574566099
196	0.1572934696
197	0.1571961964
198	0.1569647299
199	0.1567608032
200	0.1565707631
201	0.1564180289
202	0.1562446941
203	0.1561298524
204	0.1560198339
205	0.1558020264
206	0.1556535566
207	0.1554802104
208	0.1553426935
209	0.1551840965
210	0.1550276341
211	0.154794447
212	0.1546200905
213	0.1544867356
214	0.1543589808
215	0.1541892104
216	0.1540403902
217	0.153906741
218	0.1537133696
219	0.1535647168
220	0.1534223301
221	0.1532250281
222	0.1530510844
223	0.152865531
224	0.1527320403
225	0.1525351107
226	0.1524016104
227	0.1522297565
228	0.1521108074
229	0.1519760405
230	0.1517769823
231	0.1515854643
232	0.1514564675
233	0.1512885702
234	0.1510637801
235	0.1509135324
236	0.1507115108
237	0.1505686181
238	0.1503984136
239	0.1502365907
240	0.1501407512
241	0.1499567146
242	0.1497480695
243	0.1496110059
244	0.1493846495
245	0.1492434692
246	0.1490149276
247	0.1488606278
248	0.1486517918
249	0.148527259
250	0.1483616101
251	0.1481851054
252	0.1479947857
253	0.1478618511
254	0.1477609487
255	0.1475664296
256	0.147393133
257	0.1472184061
258	0.1470577907
259	0.1468884162
260	0.1466963312
261	0.1465974902
262	0.1464826333
263	0.1463483934
264	0.1462717142
265	0.1461113625
266	0.1459575842
267	0.1458200089
268	0.1457460435
269	0.1456437183
270	0.1455183606
271	0.1453691619
